0	57	examine post
1	57	examine bandage
2	65	gnusto fiznav
3	65	gnusto wigro
4	64	open panel
5	67	take fragment from zipper
6	70	look up cholok in leshosh
7	14	put coal in basket
8	57	x button
9	66	wear clown mask
10	0	put copper key on keyring
11	21	drop key and brush
12	51	give card to alan
13	14	put opal cluster in knapsack
14	58	wave pole
15	33	ask female about bar
16	67	get luck
17	14	put battery in panel
18	12	note sink
19	72	stand on chair
20	21	drop journal and key
21	67	take hair dryer
22	60	slide s
23	55	turn off machine
24	21	drop grater
25	33	ask male about daddy
26	66	wear badge
27	65	jindak
28	66	wear locket
29	51	give note to man
30	11	look in hole
31	57	examine glass case
32	57	examine skeleton
33	14	put butter in pot
34	67	get shovel
35	57	x chopper
36	66	wear cap
37	57	x camera
38	14	put golden chalice in knapsack
39	56	set dial to 948
40	67	get bird
41	14	put coin in slot
42	57	x compass
43	57	examine white door
44	67	get all
45	67	take chest
46	14	put grenade in cupboard
47	67	get lump
48	57	examine machine
49	65	gnusto ledak
50	67	get blanket
51	67	take dino
52	5	lie in tiny little bed
53	64	open can
54	54	unlock bronze door with key
55	57	x bed
56	46	read memo
57	11	look in overalls
58	67	get particule
59	69	ask for mycroft holmes
60	62	cut flower
61	57	x ladder
62	57	examine stump
63	67	take 10
64	67	get interface
65	67	get balm
66	67	get dynamite
67	67	get kitchen card and upper card
68	64	open cabinet
69	67	get emerald cluster
70	62	cut jacket with glass
71	33	ask hermit about entrance
72	21	drop firestone
73	57	x blank card
74	14	put ball in machine
75	51	give match to man
76	57	x opener
77	14	put gold in toolkit
78	21	drop shawm
79	66	wear boots
80	30	break glass with hammer
81	33	ask male about invitation
82	56	set right dial to 4
83	67	get bar
84	59	eat food
85	67	get fan
86	7	rub bug
87	73	throw ball at umbrella
88	10	pull line
89	48	dig
90	34	remove second board
91	20	tie rope to railing
92	83	climb scarf
93	67	take headphones
94	11	look in displaycase
95	57	x cage
96	67	get bladder
97	41	turn on homing
98	21	drop knife
99	8	press lever
100	67	get jewelry
101	16	insert oar in oarlock
102	14	put gray rod in pot
103	78	jump lake
104	67	get clear sphere
105	34	remove first brick
106	50	idiot
107	10	pull leaves
108	44	repeatedly "turn sceptre" until the coffin opens
109	57	examine computer
110	57	examine diagram
111	65	click on edit
112	79	talk to boy
113	76	push dusty n
114	64	open pram
115	21	drop pouch
116	0	put it on yellowed paper
117	0	put brass key on keyring
118	67	take all from pot
119	0	put pouch under pipe
120	14	put all in fireplace
121	33	ask k9 about k9
122	67	get cube
123	67	get watch
124	57	x cubicles
125	73	throw sand
126	67	get ruby cluster
127	67	get flashlight
128	67	take garlic
129	67	take hoard
130	57	x invite
131	34	remove fused bedistor with pliers
132	10	pull branch
133	57	examine blue carpet
134	57	examine cylinder
135	21	drop hair dryer
136	21	drop matches
137	65	play arcade
138	67	take clock
139	71	enter dory
140	67	get bees
141	14	put glass in crack
142	46	read missive
143	19	search shape
144	30	break cabinet
145	14	put bauble in case
146	59	eat gigantic quantity of just-right porridge
147	39	touch red
148	46	read news in newspaper
149	67	take amber
150	80	show brick to pig
151	21	drop branch
152	11	look in tear
153	46	read huge tome
154	34	remove armour
155	67	get wallet
156	0	put clover on coin
157	14	put cave cube in bottom right socket
158	16	insert violet card in slot
159	65	fwoosh
160	76	push pram south
161	64	open box with tool
162	21	drop coconut
163	14	put it in coffin
164	73	throw body in pit
165	57	x dresser
166	57	examine radio
167	5	lie down in front of bulldozer
168	46	read envelope
169	51	give jewels to guard
170	33	ask barman about job
171	64	open chest with needle
172	57	examine symbols
173	34	remove handcuffs
174	67	take dusty brick
175	65	gnusto gondar spell
176	9	write 3 on cube
177	57	examine lever
178	0	put glob on case
179	65	click designers_manual
180	83	climb beanstalk
181	14	put bread in zipper
182	36	close slot
183	14	put gold in slot
184	21	drop padlock
185	21	drop chair
186	50	eddie, hello
187	67	get buoy
188	67	get poe
189	62	cut blue wire
190	67	take lens
191	67	get album
192	52	blow it
193	33	ask gnome about mother
194	21	drop letter
195	67	get eight
196	67	get club
197	28	point at blue carpet
198	33	ask gnome about fire
199	64	open forge
200	57	x hawk
201	64	open jewellery box
202	67	get stick
203	67	get gumball
204	14	put gnomon in hole
205	16	insert film in film projector
206	36	close drawer
207	14	put jar in purse
208	81	raise short pole
209	71	enter shack
210	36	close panel
211	65	gnusto swanzo spell
212	11	look at controls
213	46	read prayer
214	14	put hand in cauldron
215	33	ask dragon about jewel
216	67	get pack
217	14	put scarab in small recess
218	57	x forest
219	67	get pyramid
220	46	read moldy book
221	57	examine fawkes
222	26	learn lesoch
223	16	insert shiny board in panel
224	29	follow mouse
225	19	search guard
226	67	get head
227	29	follow pig
228	28	point it at metal
229	33	ask hawker about candy
230	46	read red scroll
231	64	open clam with trident
232	14	put it in thing
233	67	get gloves and crowbar
234	57	x form
235	64	open cauldron
236	14	put key in hole
237	67	get glass
238	67	get cloak
239	49	hit comb
240	3	get out of cask
241	33	ask k9 about control
242	67	take fragment
243	61	buy beer
244	67	take fuse
245	21	drop matchbox
246	58	wave spar
247	67	take envelope
248	75	dungeon master, wait
249	14	put rag in pot
250	57	examine slip
251	25	n
252	57	x moss
253	17	move moose
254	7	rub locket
255	54	unlock door with key
256	25	nw
257	73	throw rag at fire
258	21	drop emerald
259	50	say ialdabaoloth
260	67	get canteen
261	5	lie on bed
262	17	move rug
263	14	put large plug in large receptacle
264	58	wave spindle
265	67	get guano, scroll and amber vial
266	65	gnusto gaspar spell
267	67	get treatise
268	51	give pork to wolf
269	51	give coin to gnome
270	31	light coal
271	8	press start
272	20	tie scarf to signpost
273	41	turn on electricity
274	67	take all but pram
275	67	get microphone
276	14	put sceptre in first socket
277	0	put mukhtar on table
278	21	drop dino
279	65	frotz temple
280	46	read sapphire scratch with glass
281	21	drop myrrh
282	67	get miniaturization card
283	80	show note to chuckles
284	13	turn dial right 3
285	57	examine meteor
286	65	gnusto vaxum spell
287	65	foe
288	64	open grate
289	67	get wrought iron key
290	82	shoot rope with crossbow
291	25	mouse, south
292	14	put prize cube in top left socket
293	21	drop glasses
294	50	say candle
295	64	open bag
296	67	get timber
297	33	ask dragon about black
298	67	get chain
299	0	put pallet on boulder
300	33	ask dragon about white
301	65	guncho krill
302	67	get pumpkin
303	67	get fork
304	63	listen to dial
305	57	examine snooker table
306	19	search ruins
307	83	climb out of pipe
308	65	mosaic, lagach
309	57	examine magpie
310	13	turn m
311	21	drop dummy
312	21	drop ring
313	57	x couch
314	59	eat it
315	21	drop crampons
316	59	eat green
317	12	note it
318	67	take hand
319	65	gnoeval
320	80	show hand to urchin
321	42	pour water on coin
322	75	wait for 36 hours
323	67	get flint
324	55	turn off flashlight
325	67	take icicle
326	14	put ruby in red boot
327	21	drop container and assignment
328	11	look in safe
329	67	get trident
330	57	x panels
331	67	get jewellery box
332	67	take kitten
333	73	throw rock at stick
334	33	ask bum about himself
335	56	set second wheel to 2
336	65	caskly chewed scroll
337	76	push play
338	57	examine ship
339	64	open secret door
340	66	wear hat
341	46	read notes
342	67	get epic poem
343	57	x clingfilm
344	25	go through curtain
345	44	hole, n
346	67	get printer
347	57	examine shadow
348	21	drop pump
349	64	open floyd
350	3	get out of bucket
351	67	get note
352	67	get fruit
353	57	examine table
354	76	push piano north
355	67	get earth crystal
356	57	examine lump
357	67	take kettle
358	57	examine fireplace
359	31	light candle with fire
360	51	give lens to norbert
361	67	get off chair
362	14	put piece in locket
363	47	drink liquid
364	57	x brick
365	13	turn it on
366	65	gnusto shiny scroll
367	0	put bazooka on claw
368	67	get penguin
369	64	open fur sack
370	35	shake pan
371	57	x farm
372	76	push blue
373	67	get pages
374	75	wait
375	21	drop magazine
376	26	learn blorb
377	11	look at stephanie
378	67	get maiden
379	51	give paper to professor
380	57	x bushes
381	41	turn on slide projector
382	67	get bench
383	50	say agamemnon
384	57	x note
385	67	get ekmek
386	64	open shield
387	33	ask george about bag
388	57	x coach
389	21	drop pile
390	57	x dragon
391	65	gnusto scroll
392	67	get coffer
393	64	open locker
394	16	insert new battery in laser
395	57	examine bookcase
396	64	open curtains
397	13	turn e
398	21	drop pin
399	21	drop gores
400	67	take eyes with tongs
401	14	put it in niche
402	56	set first wheel to 9
403	49	hit crulley with coffer
404	57	x chest
405	8	press emergency button
406	67	take bar
407	56	set compass to crane
408	66	wear cloak
409	68	g
410	65	egdelp golem
411	9	write chasm on featureless cube
412	67	get accordion
413	10	pull antenna
414	78	jump
415	83	climb on stage
416	57	examine emerald
417	15	burn pole with torch
418	21	drop food
419	49	hit bung with mace
420	65	blorple 5
421	50	say "float"
422	14	put all in zipper except book
423	57	x handle
424	13	turn gnomon
425	67	take hamburger
426	57	x cat
427	0	put flag on bed
428	56	set fifth wheel to 3
429	21	drop firework
430	8	press channel
431	71	enter gazebo
432	65	bekdab golem
433	71	enter waterfall
434	33	ask barkeep about thad
435	57	x attendant
436	34	remove ring
437	67	get paddle
438	65	pick cuffs with needle
439	76	push button
440	57	examine hole
441	0	put red flag on spotted
442	57	x book
443	64	open bottle
444	57	x coat
445	67	get rope
446	57	examine watch
447	57	x machine
448	29	k9, follow me
449	67	get coins
450	71	enter tardis
451	0	put ladder under trap
452	76	push railing
453	47	drink medicine
454	71	dock
455	51	give gloves to zombie
456	11	look in keg
457	64	open package
458	21	drop screwdriver
459	33	ask george about beetlebaum
460	25	go to pig
461	14	put 10 in box
462	41	turn on computestor
463	46	read back of yellow paper
464	25	go north
465	54	unlock cabinet with shiny key
466	67	get white
467	19	search furniture
468	67	get stethoscope
469	67	take coin
470	27	strike rod of bronze
471	76	push pram east
472	67	get spar
473	57	examine corpse
474	57	examine blossoms
475	57	examine tomb
476	64	open claws
477	33	ask george about gumball
478	19	search ash
479	26	learn nitfol
480	57	x natives
481	41	turn on lamp
482	67	get scalpel
483	19	search crates
484	13	turn isis
485	64	open net
486	57	examine compressor
487	57	x blade
488	77	fill bucket with water
489	30	break frame
490	33	ask belboz about cube
491	67	take implementeers
492	80	show card to chuckles
493	0	put bronze on left
494	67	get all from basket
495	67	take a picture
496	67	get indigo card
497	51	give pass to reunite
498	21	drop flint
499	67	get garlic
500	67	get plans
501	0	put peanut butter on celery
502	67	take all except key, whip, stool
503	9	write 6 on cube
504	34	remove bandage
505	76	push joystick west
506	21	drop pole
507	67	get magic porridge pot
508	26	learn izyuk
509	67	take black rod
510	67	get tin
511	57	x feather
512	67	get ticket
513	67	take amethysts
514	8	press buy
515	67	get chisel
516	51	give it to girl
517	67	get blue card
518	57	examine toaster
519	46	read old book
520	67	get pork chops
521	19	search garbage
522	67	take book
523	57	x indicator
524	28	point at vodka
525	64	open icebox
526	53	smell it
527	57	x male
528	4	jacket
529	67	get rod
530	11	look at ron
531	57	x flowers
532	57	x pass
533	67	get satchel
534	71	enter cab
535	11	look at shape
536	34	remove cap
537	14	put ebony in eastern niche
538	67	get mace
539	21	drop bottle
540	64	open lab uniform
541	65	click ftp
542	57	x boots
543	65	foblub man
544	21	drop broom
545	78	jump onto riser
546	19	search grass
547	64	open dish washer
548	14	put round stone into grating
549	57	x carpark
550	21	drop it and kit
551	25	go stump
552	67	get pliers
553	57	examine white  statuette
554	36	close door
555	57	examine cups
556	21	drop box
557	14	put fig in urn
558	64	open hatch
559	14	put embers in coat
560	80	show book to gnome
561	57	x grenade
562	25	norbert
563	40	berknip
564	0	put dart on claw
565	33	ask charles about chest
566	34	remove cloak
567	67	take key
568	14	put all in zipper
569	51	give box of chocolates to jemima
570	21	drop lamp
571	64	open coffin
572	28	point it at lemniscus
573	67	get balls
574	67	get red statuette
575	67	get bomb
576	65	gnusto meef spell
577	9	write 8 on cube
578	35	shake pack
579	46	read brochure
580	19	search ice
581	16	insert beam in niches
582	14	put packet in pan
583	57	examine statue
584	31	light candles with match
585	14	put match in raincoat
586	71	enter handcar
587	22	lower grate
588	26	learn frotz
589	73	throw box at outcropping
590	57	x keypad
591	69	ask for akbar
592	21	drop all except 10, book
593	57	x nest
594	57	x boot
595	35	sharpen knife on rock
596	14	put golden cluster in knapsack
597	44	robot, east and south
598	35	shake lamp
599	39	touch calibration
600	46	read green
601	67	get tools
602	25	go to statue
603	26	learn bozbar
604	14	put guano in cannon
605	48	dig in tub
606	83	climb idol
607	51	dragon, give ring to me
608	11	look in closet
609	67	take 12
610	67	get bazooka
611	73	throw axe at cord
612	25	fore
613	65	melbor myself
614	67	take bottle
615	57	x copier
616	76	push green
617	14	put scalpel in toolkit
618	67	get screwdriver
619	67	get lamp, glass and ampoule
620	67	take light
621	24	kill eranti
622	21	drop blue paper and yellow paper
623	57	examine bones
624	27	strike rod of fire
625	8	press information
626	67	get bottle
627	40	sleaze
628	14	put diamond in case
629	67	get mug
630	71	enter door
631	76	push boulder
632	57	x crowbar
633	21	drop egg
634	67	take bandage
635	67	get mirror 1
636	67	take brown rod
637	25	d
638	51	give gram to jim
639	67	take all
640	76	push joystick east
641	65	covert
642	50	guard, hello
643	67	take axe
644	67	get wheel
645	57	x k9
646	67	get bucket
647	51	give hairpin to mary
648	80	show blue to trent
649	46	read of unseen terror
650	66	wear mask
651	64	open stone door
652	10	pull flower
653	64	open catch
654	51	give encyclopedia to marion
655	14	put chalice in case
656	67	get painting
657	21	drop buoy
658	57	x hermit
659	14	put red cake in pool
660	67	get apple
661	64	knight, open flagstone
662	81	raise beam
663	57	x lever
664	51	give novel to alan
665	61	buy peanuts
666	0	put icicle on lump
667	21	drop biscuit, paper
668	79	talk to reunite
669	11	look at frank
670	67	get popcorn
671	76	push dispenser button
672	64	open case
673	24	kill dragon
674	67	take key from zipper
675	14	put screwdriver in basket
676	10	pull cord
677	65	espnis idol
678	66	wear gown
679	57	examine fin
680	64	open bin
681	67	get sceptre
682	67	take egg
683	57	x barkeep
684	13	turn h
685	21	drop decaf
686	21	drop flat key
687	67	get tea
688	28	point at coconut
689	57	x console
690	21	drop net
691	76	push painting
692	64	open blue bottle
693	21	drop bear
694	79	talk to sleaze
695	67	get it
696	64	open mailbox
697	67	get bone
698	57	examine missile
699	57	x mukhtar
700	67	get pork
701	74	sit in cask
702	39	touch table
703	67	get line
704	39	touch pad
705	67	take jar
706	14	put cube in cauldron
707	33	ask gnome about page
708	76	push rock
709	36	close receptacle
710	14	put bomb in sewer
711	58	wave hairband
712	0	put oak on table
713	67	get dumbells
714	67	get mousetrap
715	67	take foot
716	64	open packet
717	3	exit
718	31	light gas
719	30	break wall
720	46	read leaflet
721	25	right
722	14	put mana in bottom socket
723	8	press ignition
724	46	read diary
725	28	point it at me
726	64	open door with crowbar
727	28	point down
728	67	get golden cluster
729	57	x books
730	57	x control
731	57	x crossbow
732	14	put packet in pot
733	76	push it south
734	41	turn on machine
735	64	open aqua vial
736	74	sit
737	21	drop shim
738	67	get oil can
739	34	remove clothes
740	8	press bottom
741	70	look up ternalim in fresto
742	14	put bar in case
743	47	drink coke
744	66	wear ring
745	67	get hydrant
746	64	open car
747	57	examine chair
748	67	get all from closet
749	71	enter curtain
750	14	put link in drawer
751	0	put laudanum on pork
752	57	examine dial
753	67	take 7
754	39	touch thing with pole
755	57	x bladder
756	64	open cube
757	17	move lighted portrait
758	0	put pebble on second disk
759	71	enter boat
760	67	get coal
761	67	get yellow card
762	33	ask k9 about cybermen
763	67	take coin from basis
764	57	x bones
765	51	give fish to grue
766	46	read label
767	40	reply
768	0	put raisins on celery
769	76	push chandelier
770	64	open outer door
771	51	give fluff to arthur
772	25	east
773	67	get clover
774	64	open royal-blue box
775	79	talk to britney
776	57	examine lemming
777	14	put pouch in toolkit
778	17	move carpet
779	14	put red sphere in pot
780	21	drop gigantic bowl
781	64	open purple book
782	67	get gas
783	58	wave clover
784	67	get boots
785	67	get tablets
786	65	exex turtle
787	53	smell car
788	57	examine cage
789	33	ask delbin about minirva
790	80	show scrap to chuckles
791	26	learn izyuk spell
792	67	take balsa beam
793	21	drop bag
794	56	set radio to 1170
795	67	get firewood
796	64	open air supply system with tool
797	36	close outer door
798	65	gnusto zemdor
799	64	open crate
800	57	x huge statue
801	27	strike rod of ice
802	14	put painting in case
803	67	take cola
804	65	gnusto swanko
805	57	x arcade
806	14	put decaf in pot
807	36	close jar
808	67	get glasses
809	17	move desk
810	26	learn krebf
811	67	take ash tray
812	57	x creature
813	34	remove plug
814	33	ask alan about key
815	80	show $500
816	54	unlock crypt
817	65	liskon snake
818	67	get towel
819	67	get stained scroll
820	13	turn neith
821	11	look in crypt
822	57	examine plans
823	4	city
824	67	get all from cupboard
825	33	ask charles about temple
826	14	put lens in telescope
827	21	drop all but lens
828	25	northeast
829	14	put invite in copier
830	14	put coal in furnace
831	64	open chest
832	67	take iron key
833	65	caskly moldy book
834	67	get bills
835	11	look
836	54	unlock door with iron key
837	76	push ass
838	67	get grater
839	14	put ring, book in sack
840	67	get link
841	14	put coins in fur sack
842	36	close cage
843	57	examine pedestal
844	21	drop cardboardbox
845	67	get pendant
846	83	climb on table
847	67	get cutter
848	67	get berries
849	67	get fluff
850	50	blizzard
851	37	inventory
852	14	put all in toolkit
853	74	sit on dragon
854	57	x mural
855	30	break ampoule
856	67	get box and journal
857	3	exit shack
858	64	dragon, open door
859	13	turn it left 7
860	11	look at bookshelf
861	64	open lid with spade
862	54	unlock box with key
863	67	get black scroll
864	20	tie chest to rope
865	73	throw rope into chute
866	21	drop head
867	67	get yellow
868	57	examine plant pots
869	20	tie rope to k9
870	57	x frank
871	54	unlock door with keys
872	10	pull mat
873	67	get weeds with fork
874	54	unlock chain with brooch
875	14	put bug in sack
876	80	show mouse to elephant
877	76	push lever
878	67	get real mirror
879	67	take all from basis
880	57	examine mouth
881	67	take green sphere
882	26	learn liskon
883	76	push dionysus southwest
884	14	put c battery in drill
885	67	get grimoire from box
886	21	drop card
887	57	examine barrels
888	67	get green
889	21	drop crown, stamp, zorkmid and ruby
890	17	move bench
891	33	ask angela about affliction
892	19	search sludge
893	57	x information stud
894	25	aft
895	67	get chewed scroll
896	36	close oven
897	67	get axe
898	67	get zorkmid
899	57	examine toadstools
900	57	examine huge bed
901	21	drop plug
902	11	look out window
903	31	light firewood with match
904	57	x chandelier
905	65	gnusto espnis
906	14	put laudanum in blue goblet
907	76	push green button
908	0	put scraps on anvil
909	51	give headdress to shaman
910	67	get matchbox
911	57	x counter
912	0	put oil on hatch
913	51	give eggs
914	77	fill bath
915	14	put screwdriver in toolkit
916	50	say alakazam
917	26	learn ozmoo
918	66	wear fur
919	67	get match
920	57	examine rope
921	39	touch bottom
922	57	examine shiny scroll
923	34	remove old battery
924	67	take egg from pot
925	14	put medicine bottle in shaft
926	67	take circuit
927	46	read letter
928	57	examine chasm
929	42	pour vodka in cola
930	44	hole, w
931	65	gnusto shazok
932	21	drop door
933	67	get spoon
934	80	show card to librarian
935	11	look in pit
936	57	examine screen
937	0	put on parka
938	14	put clock in pot
939	57	x block
940	50	say kaluze
941	27	strike returning
942	66	wear crampons
943	26	learn shazok
944	67	take analgesic
945	14	put pass in slot
946	67	get gum
947	20	tie rope to rod
948	69	ask coach for trophy
949	66	wear jacket
950	19	search bones
951	64	open front door
952	67	get locket
953	21	drop amulet
954	76	push pine panel
955	0	put gold coin on right
956	14	put chasm cube in bottom left socket
957	57	x mushroom
958	69	ask for pigeon
959	64	open pouch
960	14	put sack in tesseract
961	80	show ribbon to chuckles
962	33	ask her about key
963	60	slide k
964	58	wave scroll
965	67	get husbandry
966	67	take balloon
967	58	wave crook
968	13	turn ring to sixth symbol
969	57	examine air tank
970	57	examine sapphire
971	67	take erbium
972	80	show ring to michael
973	67	take gold coin from right pan
974	54	unlock grate with keys
975	57	x chairs
976	21	drop chest
977	67	get mirror
978	64	open journal
979	82	shoot mushroom with crossbow
980	42	pour water on plant
981	67	take chelsea
982	57	examine model
983	33	ask k9 about reactor
984	14	put branch in pit
985	21	drop sack
986	67	get tobacco,knife,pipe
987	57	examine herbs
988	30	break door
989	71	enter
990	67	get sash
991	67	get firework
992	54	unlock cupboard with key
993	8	press button
994	67	get garter
995	51	give key to alan
996	80	show case to jenny
997	21	drop drive
998	77	fill canteen
999	57	examine boy
1000	67	take blue carpet
1001	51	give gram to silas
1002	67	get featureless rod
1003	55	turn off electricity
1004	60	slide c
1005	21	drop pencil
1006	79	talk to empirious
1007	57	examine switch b
1008	64	open access panel
1009	67	get all from cabinet
1010	21	drop dragon and paper
1011	81	lift plywood cover
1012	14	put bracelet in case
1013	33	ask gnome about statue
1014	21	drop scarf
1015	57	x bulbs
1016	67	take ledger
1017	16	insert blue card in slot
1018	49	hit creature with hook
1019	78	jump to beanstalk
1020	21	drop remote control
1021	67	take gothic key
1022	79	talk to man
1023	57	examine stars
1024	34	remove goggles
1025	41	turn on space heater
1026	49	hit box
1027	60	slide i
1028	67	get eight of wands
1029	57	x generator access
1030	67	get carton
1031	14	put cube in pot
1032	21	drop candle
1033	50	say ptolemy
1034	67	get remote control
1035	51	give garnet to akbar
1036	80	show file to district attorney
1037	11	look in zipper
1038	0	put firewood on hearth
1039	54	unlock hatch with brass key
1040	57	examine statues
1041	0	put gum on stick
1042	56	set compass to hawk
1043	76	push poseidon northeast
1044	78	jump to brown rock
1045	57	x papers
1046	13	turn dial to 3
1047	79	talk to alltext
1048	19	search painting
1049	67	take flat key
1050	76	push golden machine south
1051	65	blorple x10
1052	57	examine pigeons
1053	57	examine dish
1054	46	read plaque
1055	67	get pillar
1056	34	remove brick
1057	41	turn on floyd
1058	10	pull quartz
1059	39	touch information
1060	3	get out of bunk
1061	62	cut clingfilm with knife
1062	57	x gaping
1063	14	put shiny in pot
1064	67	get bauble
1065	67	get indigo vial
1066	21	drop bible
1067	76	push red
1068	64	open secret panel
1069	66	wear razor
1070	65	click on more
1071	8	press blue button
1072	57	examine floor
1073	33	ask hermit about exit
1074	67	get pole
1075	68	again
1076	71	enter access panel
1077	63	listen to girl
1078	60	slide o
1079	71	enter coffin
1080	26	learn caskly
1081	80	show crossbow to dragon
1082	13	turn sceptre
1083	14	put card in pocket
1084	51	give $56
1085	57	examine dining table
